Id,Label
953,953
1323,1323
1789,1789
1707,1707
1175,1175
1059,1059
1329,1329
1559,1559
1804,1804
1898,1898
1622,1622
1520,1520
1200,1200
1202,1202
1449,1449
1836,1836
1156,1156
1605,1605
1149,1149
1173,1173
1180,1180
1549,1549
1412,1412
1638,1638
942,942
1448,1448
1786,1786
1768,1768
1092,1092
927,927
1791,1791
1287,1287
1516,1516
1044,1044
1235,1235
1100,1100
1279,1279
1366,1366
1472,1472
1374,1374
483,483
1610,1610
1021,1021
1322,1322
923,923
1505,1505
1761,1761
1566,1566
1211,1211
1835,1835
896,896
1479,1479
1215,1215
1199,1199
1539,1539
1153,1153
1796,1796
1355,1355
1236,1236
1899,1899
1884,1884
1425,1425
475,475
1298,1298
366,366
930,930
1230,1230
1621,1621
1437,1437
1337,1337
1801,1801
1695,1695
1795,1795
1839,1839
1632,1632
1370,1370
1340,1340
1871,1871
954,954
1718,1718
1846,1846
1582,1582
1438,1438
1060,1060
1859,1859
1816,1816
1619,1619
1431,1431
1734,1734
944,944
1428,1428
1097,1097
958,958
1488,1488
1471,1471
1613,1613
1250,1250
1833,1833
1085,1085
1518,1518
1163,1163
1040,1040
1900,1900
1819,1819
1557,1557
1864,1864
1754,1754
1813,1813
1135,1135
908,908
1537,1537
1612,1612
1652,1652
1389,1389
1740,1740
1122,1122
1352,1352
1483,1483
959,959
1569,1569
1903,1903
641,641
1625,1625
1444,1444
1876,1876
1192,1192
1129,1129
1078,1078
1420,1420
1360,1360
1579,1579
1794,1794
1334,1334
1716,1716
1765,1765
1703,1703
1686,1686
924,924
1260,1260
1285,1285
916,916
1714,1714
952,952
1332,1332
1210,1210
1459,1459
1680,1680
1222,1222
1124,1124
1399,1399
1377,1377
975,975
1256,1256
926,926
1345,1345
1126,1126
1596,1596
1432,1432
1414,1414
1752,1752
1344,1344
1402,1402
1101,1101
1837,1837
1424,1424
1730,1730
1074,1074
980,980
1341,1341
1868,1868
1086,1086
1391,1391
1771,1771
1685,1685
1039,1039
1081,1081
1003,1003
1823,1823
1191,1191
1721,1721
1584,1584
1832,1832
1083,1083
1317,1317
929,929
946,946
960,960
1380,1380
1662,1662
1689,1689
932,932
1238,1238
1608,1608
997,997
1530,1530
1583,1583
1099,1099
1291,1291
1741,1741
921,921
1735,1735
1473,1473
1064,1064
1760,1760
1070,1070
1132,1132
1367,1367
1251,1251
1307,1307
1724,1724
1302,1302
1014,1014
1108,1108
1528,1528
1336,1336
1547,1547
1573,1573
988,988
1663,1663
1290,1290
1705,1705
1187,1187
1190,1190
1436,1436
1881,1881
1799,1799
1688,1688
1515,1515
898,898
1328,1328
1511,1511
1587,1587
1331,1331
1423,1423
1872,1872
1842,1842
1782,1782
1213,1213
1005,1005
1502,1502
1636,1636
1750,1750
991,991
1604,1604
1497,1497
1376,1376
1166,1166
1793,1793
1857,1857
1026,1026
1018,1018
1600,1600
526,526
1117,1117
1054,1054
1540,1540
1643,1643
1184,1184
1551,1551
1004,1004
1849,1849
1746,1746
1305,1305
1114,1114
1487,1487
1687,1687
1593,1593
1777,1777
563,563
1478,1478
1743,1743
1609,1609
1460,1460
1139,1139
1219,1219
1080,1080
353,353
1542,1542
1717,1717
1675,1675
1347,1347
1820,1820
1508,1508
1882,1882
914,914
1041,1041
1496,1496
1228,1228
1024,1024
1390,1390
1648,1648
1232,1232
1342,1342
1886,1886
1800,1800
1098,1098
1802,1802
1629,1629
1554,1554
947,947
1028,1028
1757,1757
1243,1243
978,978
993,993
1753,1753
1361,1361
1783,1783
1469,1469
1172,1172
1011,1011
1072,1072
1242,1242
925,925
897,897
1207,1207
1809,1809
1435,1435
1492,1492
1509,1509
1079,1079
1181,1181
1615,1615
1433,1433
1617,1617
1589,1589
1467,1467
1404,1404
1522,1522
1489,1489
1495,1495
1669,1669
957,957
1158,1158
1570,1570
1485,1485
1020,1020
1066,1066
1348,1348
1630,1630
1415,1415
949,949
1815,1815
968,968
999,999
996,996
629,629
1185,1185
1826,1826
1692,1692
566,566
1447,1447
1067,1067
1532,1532
1491,1491
1727,1727
1418,1418
1167,1167
1246,1246
1107,1107
1115,1115
1645,1645
1400,1400
1529,1529
596,596
1408,1408
915,915
1112,1112
1620,1620
1588,1588
1719,1719
1381,1381
1043,1043
955,955
1682,1682
1524,1524
1888,1888
1907,1907
1766,1766
1870,1870
1231,1231
1571,1571
905,905
1536,1536
1294,1294
1427,1427
1123,1123
1637,1637
1676,1676
1144,1144
1597,1597
992,992
963,963
934,934
1877,1877
1288,1288
1042,1042
1538,1538
1706,1706
1393,1393
1189,1189
1668,1668
1146,1146
1535,1535
1296,1296
1109,1109
1033,1033
1186,1186
939,939
1356,1356
1599,1599
1901,1901
1277,1277
1841,1841
1312,1312
1590,1590
1214,1214
1075,1075
1880,1880
1378,1378
1446,1446
1131,1131
1304,1304
1821,1821
1683,1683
1513,1513
1603,1603
1623,1623
1142,1142
1844,1844
1456,1456
1824,1824
1273,1273
1120,1120
1462,1462
1284,1284
1379,1379
1576,1576
1076,1076
1359,1359
1160,1160
906,906
1445,1445
951,951
1661,1661
1382,1382
1282,1282
1324,1324
1691,1691
1606,1606
1113,1113
1416,1416
1335,1335
1159,1159
1738,1738
1047,1047
1902,1902
1375,1375
1611,1611
1272,1272
1715,1715
1616,1616
1048,1048
1911,1911
1879,1879
1798,1798
902,902
966,966
982,982
1209,1209
1257,1257
1767,1767
1338,1338
1712,1712
1500,1500
1634,1634
1029,1029
1205,1205
1722,1722
1333,1333
1468,1468
1410,1410
1866,1866
1655,1655
1895,1895
1601,1601
1764,1764
1519,1519
1267,1267
1628,1628
1292,1292
1339,1339
1827,1827
1805,1805
1618,1618
1271,1271
1330,1330
1744,1744
1845,1845
1572,1572
1406,1406
1261,1261
484,484
1710,1710
938,938
1314,1314
1310,1310
1563,1563
1543,1543
1177,1177
1694,1694
1831,1831
1565,1565
1671,1671
1010,1010
1289,1289
1720,1720
1102,1102
1893,1893
1677,1677
1665,1665
1426,1426
1017,1017
1504,1504
1319,1319
1770,1770
1484,1484
1269,1269
1531,1531
1614,1614
1769,1769
901,901
1548,1548
1709,1709
1204,1204
1439,1439
1737,1737
1198,1198
1350,1350
1036,1036
1574,1574
1493,1493
1733,1733
637,637
1503,1503
1134,1134
1227,1227
1843,1843
1396,1396
1756,1756
1742,1742
1649,1649
1049,1049
1534,1534
1452,1452
1411,1411
1470,1470
1591,1591
1550,1550
1639,1639
1598,1598
1201,1201
1225,1225
1830,1830
1525,1525
538,538
1453,1453
1889,1889
1499,1499
1293,1293
1006,1006
1056,1056
1865,1865
1303,1303
1128,1128
1001,1001
1514,1514
1413,1413
1523,1523
1729,1729
1451,1451
1103,1103
1653,1653
1118,1118
983,983
1275,1275
1482,1482
917,917
1785,1785
941,941
1009,1009
1807,1807
1221,1221
1237,1237
1647,1647
1051,1051
1699,1699
1660,1660
1541,1541
936,936
1320,1320
1365,1365
967,967
1544,1544
1441,1441
1351,1351
1155,1155
1315,1315
1553,1553
994,994
1398,1398
1851,1851
1494,1494
1061,1061
428,428
1229,1229
1702,1702
1465,1465
1812,1812
348,348
1736,1736
1394,1394
1240,1240
1644,1644
1022,1022
1178,1178
1751,1751
1810,1810
1461,1461
1369,1369
1434,1434
1564,1564
1659,1659
1000,1000
1474,1474
1723,1723
981,981
933,933
1318,1318
1773,1773
1032,1032
1512,1512
920,920
1635,1635
1521,1521
903,903
995,995
1239,1239
1258,1258
1457,1457
1226,1226
1125,1125
1130,1130
1909,1909
1545,1545
1878,1878
1052,1052
1136,1136
1464,1464
1850,1850
1781,1781
1580,1580
913,913
1567,1567
1121,1121
1885,1885
1867,1867
1154,1154
651,651
972,972
1388,1388
1811,1811
1650,1650
1818,1818
1656,1656
1852,1852
1585,1585
1822,1822
1286,1286
1392,1392
1358,1358
1475,1475
1280,1280
1321,1321
1283,1283
1861,1861
1772,1772
1255,1255
1278,1278
1578,1578
1316,1316
919,919
1179,1179
1141,1141
1401,1401
1561,1561
1891,1891
1696,1696
1062,1062
1480,1480
1309,1309
1409,1409
1015,1015
984,984
1863,1863
1077,1077
1803,1803
1507,1507
1592,1592
1327,1327
1556,1556
1847,1847
977,977
1306,1306
1421,1421
1700,1700
1825,1825
1110,1110
1624,1624
1463,1463
1405,1405
931,931
1763,1763
1281,1281
1894,1894
1182,1182
1188,1188
1673,1673
1012,1012
606,606
1140,1140
1450,1450
1728,1728
1234,1234
1373,1373
1454,1454
1906,1906
1577,1577
1774,1774
922,922
1778,1778
1171,1171
956,956
1308,1308
1725,1725
1196,1196
1666,1666
1780,1780
1633,1633
1429,1429
1165,1165
1860,1860
1104,1104
1035,1035
1161,1161
1217,1217
1640,1640
601,601
973,973
1873,1873
580,580
1748,1748
1019,1019
1371,1371
1646,1646
1908,1908
1806,1806
1046,1046
1586,1586
976,976
1595,1595
1892,1892
1875,1875
1325,1325
928,928
1672,1672
1030,1030
1828,1828
1357,1357
1533,1533
1674,1674
1758,1758
363,363
1311,1311
1259,1259
1745,1745
1299,1299
1790,1790
1817,1817
1148,1148
1776,1776
1808,1808
910,910
1093,1093
1440,1440
1407,1407
1681,1681
1091,1091
1704,1704
971,971
1050,1050
1203,1203
948,948
1862,1862
1526,1526
1779,1779
912,912
1684,1684
1568,1568
1106,1106
1127,1127
1090,1090
1732,1732
1174,1174
1678,1678
1874,1874
1602,1602
1887,1887
1667,1667
1069,1069
1546,1546
1197,1197
1223,1223
1626,1626
970,970
1775,1775
1082,1082
1458,1458
1152,1152
1058,1058
1552,1552
1481,1481
517,517
420,420
1397,1397
998,998
376,376
1268,1268
1254,1254
1252,1252
1301,1301
961,961
900,900
1183,1183
1216,1216
1364,1364
1195,1195
1068,1068
940,940
1170,1170
964,964
1664,1664
1477,1477
1631,1631
1025,1025
1023,1023
1073,1073
1670,1670
1403,1403
1089,1089
1869,1869
1883,1883
1137,1137
1698,1698
1007,1007
1274,1274
1265,1265
1654,1654
1762,1762
1038,1038
1419,1419
1787,1787
1562,1562
1045,1045
1212,1212
1343,1343
1897,1897
1168,1168
989,989
1490,1490
1241,1241
1858,1858
1905,1905
974,974
1829,1829
1143,1143
1220,1220
1244,1244
1476,1476
1088,1088
1247,1247
1422,1422
1138,1138
1708,1708
1501,1501
1856,1856
1363,1363
1276,1276
0,0
171,171
1657,1657
965,965
1904,1904
1169,1169
1111,1111
1555,1555
1218,1218
1245,1245
1840,1840
1193,1193
1679,1679
1349,1349
1658,1658
1368,1368
979,979
1853,1853
1116,1116
986,986
389,389
1037,1037
1527,1527
1263,1263
1164,1164
1747,1747
1013,1013
58,58
1300,1300
935,935
1151,1151
1443,1443
1384,1384
1788,1788
1031,1031
1517,1517
414,414
1087,1087
990,990
1249,1249
1008,1008
1162,1162
943,943
1313,1313
1095,1095
909,909
1575,1575
1848,1848
1208,1208
1105,1105
1053,1053
1417,1417
1910,1910
907,907
962,962
937,937
1264,1264
985,985
1372,1372
1084,1084
1385,1385
1607,1607
1855,1855
1016,1016
1641,1641
1896,1896
1784,1784
1797,1797
1253,1253
1071,1071
1455,1455
1739,1739
1642,1642
950,950
1854,1854
1063,1063
1002,1002
1055,1055
1759,1759
1701,1701
1749,1749
1233,1233
1594,1594
1150,1150
1726,1726
1711,1711
1755,1755
1651,1651
1713,1713
1354,1354
969,969
1792,1792
1486,1486
1387,1387
1697,1697
1362,1362
1065,1065
1498,1498
1890,1890
1157,1157
1506,1506
1814,1814
1133,1133
987,987
1295,1295
899,899
1442,1442
649,649
1731,1731
1034,1034
1297,1297
945,945
1266,1266
1510,1510
1094,1094
1057,1057
1326,1326
1838,1838
1176,1176
1395,1395
1194,1194
1693,1693
1147,1147
1353,1353
1346,1346
1627,1627
1027,1027
1248,1248
904,904
1224,1224
1270,1270
1383,1383
1690,1690
1262,1262
1558,1558
1430,1430
