source,target
561,373
630,574
583,670
627,662
630,584
400,394
378,374
609,598
665,662
395,423
577,661
619,685
627,670
370,506
461,567
630,626
373,680
636,609
475,394
542,513
606,423
591,492
515,637
664,666
370,378
542,394
579,603
465,669
662,658
684,598
647,599
596,639
556,559
661,675
400,506
400,373
173,427
605,626
524,465
632,615
373,412
373,587
370,514
438,683
506,610
436,492
422,654
400,438
348,373
578,576
580,391
591,423
635,659
650,583
678,672
348,559
524,438
577,627
684,611
644,588
619,422
591,376
635,640
376,669
515,400
619,609
475,514
683,431
492,542
643,675
370,646
173,649
683,374
107,649
496,374
461,363
436,378
370,373
524,423
515,492
612,678
412,496
684,592
438,483
683,676
492,637
614,394
412,391
589,603
676,378
475,567
566,412
566,567
678,639
573,653
378,514
577,595
436,438
376,676
496,427
591,580
619,633
434,506
434,563
622,639
475,513
643,582
423,587
634,587
513,394
617,620
609,601
438,559
348,465
544,465
363,370
579,589
632,577
619,623
681,582
500,645
614,645
428,391
591,506
556,423
524,391
630,601
635,600
596,620
632,627
616,657
400,651
637,601
561,370
592,677
591,378
553,475
436,542
561,669
683,514
665,628
597,611
644,605
583,578
394,620
395,412
395,542
631,679
614,373
515,428
395,601
475,676
561,566
678,584
591,645
665,659
373,559
644,601
373,378
645,586
630,663
400,556
579,625
583,632
348,483
651,645
663,616
633,680
348,556
609,612
544,553
431,391
661,670
515,524
566,394
563,427
465,431
577,578
630,631
465,423
670,595
650,665
373,580
578,640
492,391
664,653
637,645
612,603
573,598
643,627
604,637
370,483
400,566
636,680
348,506
684,654
579,617
556,373
627,640
614,513
584,574
651,438
600,675
553,370
561,475
500,483
627,600
563,374
434,475
664,685
567,513
631,682
438,492
588,653
661,576
609,623
597,677
436,673
604,671
635,627
666,609
632,600
599,615
640,659
412,593
431,506
633,653
428,34
636,620
684,622
566,374
654,644
665,600
582,670
614,683
515,431
373,395
492,506
412,506
597,644
645,587
588,617
636,666
617,648
615,670
591,683
524,542
603,677
680,612
636,612
577,659
461,465
465,513
561,580
583,658
515,412
436,400
643,615
436,651
596,422
591,475
591,559
373,645
559,514
438,376
461,591
524,378
618,653
436,434
544,391
363,542
579,644
515,378
614,553
632,640
434,604
376,645
685,592
524,412
600,640
578,661
573,677
400,465
577,658
428,606
632,659
573,622
395,637
566,514
627,661
434,431
428,107
666,592
436,412
647,675
609,620
680,573
643,628
376,475
596,618
553,513
400,591
680,685
633,590
630,664
412,423
412,669
515,434
515,641
348,514
556,394
363,376
579,654
575,573
348,553
604,422
583,635
376,580
559,374
591,374
650,681
643,640
589,611
583,615
475,423
434,580
664,644
578,599
553,683
612,590
515,513
680,609
524,395
647,583
556,431
605,677
363,483
483,596
670,675
461,378
584,660
627,675
603,605
461,436
524,374
626,657
363,637
480,563
630,684
436,606
561,651
438,566
561,513
348,412
636,653
597,592
378,394
676,559
672,573
436,563
589,575
612,617
684,573
422,584
630,619
395,645
348,561
664,589
644,590
640,661
654,677
370,669
614,428
544,506
591,412
348,558
373,590
561,465
400,492
597,603
583,659
683,395
566,676
619,684
611,603
630,573
483,637
173,34
561,683
647,662
483,492
636,597
480,593
561,423
664,612
665,615
500,604
677,682
400,513
647,577
515,465
436,475
579,684
683,645
434,566
428,412
597,633
654,603
544,475
373,563
650,670
591,553
422,685
492,514
591,391
579,574
506,496
395,513
579,612
625,611
663,596
400,434
559,513
647,658
684,603
630,592
632,662
544,428
544,669
363,348
615,675
597,684
515,483
461,400
363,373
566,391
635,670
370,431
599,675
635,582
438,370
363,559
577,675
428,601
597,422
604,475
579,620
680,654
636,685
378,641
628,661
684,623
500,683
604,563
400,559
400,378
348,475
475,542
644,573
579,573
609,654
615,661
436,580
616,622
475,492
431,423
646,423
636,579
370,465
