Id,Label
3466,3466
937,937
5233,5233
8579,8579
10310,10310
15931,15931
17038,17038
18720,18720
19607,19607
1854,1854
4583,4583
9572,9572
10841,10841
13056,13056
14982,14982
16310,16310
19640,19640
23855,23855
24372,24372
24814,24814
5052,5052
899,899
1796,1796
2287,2287
3096,3096
3386,3386
4472,4472
5346,5346
5740,5740
6094,6094
6376,6376
9124,9124
10235,10235
10427,10427
10597,10597
15159,15159
16148,16148
16741,16741
18235,18235
18549,18549
19297,19297
20511,20511
20595,20595
20613,20613
24371,24371
24559,24559
24731,24731
25102,25102
25271,25271
25396,25396
1658,1658
4822,4822
6864,6864
7689,7689
7926,7926
10268,10268
12971,12971
18600,18600
20421,20421
20886,20886
21048,21048
22393,22393
23186,23186
23214,23214
23298,23298
23945,23945
24939,24939
339,339
624,624
3731,3731
4743,4743
5407,5407
6610,6610
6700,6700
8045,8045
9099,9099
9639,9639
9785,9785
12141,12141
15184,15184
15784,15784
18719,18719
19870,19870
20532,20532
22527,22527
23576,23576
23577,23577
23649,23649
24199,24199
24293,24293
25201,25201
10243,10243
6774,6774
8049,8049
8053,8053
8517,8517
11964,11964
15538,15538
16694,16694
18648,18648
19423,19423
21012,21012
22457,22457
22691,22691
23452,23452
16174,16174
14265,14265
392,392
2485,2485
2949,2949
3173,3173
3441,3441
3593,3593
3853,3853
3927,3927
3937,3937
3939,3939
5107,5107
5218,5218
5230,5230
6030,6030
7350,7350
7504,7504
7601,7601
8718,8718
9522,9522
11621,11621
12498,12498
12691,12691
15251,15251
16020,16020
16261,16261
17156,17156
17626,17626
18622,18622
19059,19059
19525,19525
19738,19738
20122,20122
20432,20432
21866,21866
22074,22074
23721,23721
8916,8916
13556,13556
14485,14485
8612,8612
615,615
743,743
2076,2076
4515,4515
5773,5773
9482,9482
10822,10822
11175,11175
11604,11604
14004,14004
15003,15003
15552,15552
15814,15814
16083,16083
17932,17932
20001,20001
20100,20100
23481,23481
16258,16258
1356,1356
1727,1727
2752,2752
4125,4125
6667,6667
6825,6825
10039,10039
10351,10351
11082,11082
14123,14123
16676,16676
21194,21194
10912,10912
14534,14534
17268,17268
19783,19783
21705,21705
22836,22836
2710,2710
62,62
106,106
260,260
2959,2959
3677,3677
4708,4708
5172,5172
5541,5541
5794,5794
5807,5807
6575,6575
8458,8458
10601,10601
11401,11401
13026,13026
13205,13205
13659,13659
13989,13989
14007,14007
14009,14009
14599,14599
15301,15301
18757,18757
20934,20934
21543,21543
22184,22184
23647,23647
23708,23708
25916,25916
26023,26023
26051,26051
26100,26100
214,214
5435,5435
6512,6512
10590,10590
23559,23559
1765,1765
3032,3032
5302,5302
7383,7383
7442,7442
7768,7768
13276,13276
17266,17266
22415,22415
10794,10794
7050,7050
25850,25850
10113,10113
10657,10657
12130,12130
17172,17172
4846,4846
676,676
824,824
2133,2133
2654,2654
4748,4748
5672,5672
10549,10549
12928,12928
13220,13220
14419,14419
17330,17330
17439,17439
18487,18487
20850,20850
22779,22779
23382,23382
24029,24029
11785,11785
45,45
46,46
570,570
773,773
1653,1653
2212,2212
2741,2741
2952,2952
3372,3372
4046,4046
4164,4164
4511,4511
4513,4513
5262,5262
6179,6179
6830,6830
7956,7956
8879,8879
11241,11241
11472,11472
12365,12365
12496,12496
12678,12678
12781,12781
12851,12851
14540,14540
14807,14807
15659,15659
16159,16159
17655,17655
17692,17692
18894,18894
19961,19961
20108,20108
20562,20562
20635,20635
21281,21281
21508,21508
21847,21847
22798,22798
22887,22887
23293,23293
24955,24955
25346,25346
25758,25758
934,934
5579,5579
9755,9755
10550,10550
16032,16032
17331,17331
17603,17603
20644,20644
22497,22497
23387,23387
23907,23907
24924,24924
25080,25080
12422,12422
1339,1339
3164,3164
15580,15580
16393,16393
20478,20478
20956,20956
3890,3890
5621,5621
8824,8824
11613,11613
12306,12306
12860,12860
14547,14547
18182,18182
21707,21707
24696,24696
2661,2661
7899,7899
8067,8067
8208,8208
11132,11132
11402,11402
12980,12980
13364,13364
14969,14969
16389,16389
18109,18109
18365,18365
23038,23038
24845,24845
25379,25379
13740,13740
4550,4550
4702,4702
7264,7264
13096,13096
14128,14128
19489,19489
19527,19527
19784,19784
22476,22476
25006,25006
25486,25486
26,26
1407,1407
1488,1488
8219,8219
10762,10762
11801,11801
12665,12665
12688,12688
13142,13142
15108,15108
15321,15321
20647,20647
20827,20827
20879,20879
23614,23614
3909,3909
17979,17979
3872,3872
5109,5109
7533,7533
12409,12409
20101,20101
23096,23096
8862,8862
78,78
