Id,Label
179,179
254,254
3274,3274
324,324
1105,1105
3041,3041
2636,2636
1171,1171
3042,3042
452,452
683,683
801,801
152,152
3047,3047
144,144
634,634
1084,1084
989,989
737,737
914,914
671,671
56,56
607,607
6506,6506
2272,2272
1418,1418
97,97
781,781
20,20
791,791
102,102
1984,1984
1535,1535
3048,3048
743,743
797,797
960,960
80,80
482,482
3195,3195
917,917
28,28
837,837
6669,6669
879,879
754,754
1108,1108
1955,1955
672,672
66,66
98,98
240,240
55,55
127,127
253,253
3841,3841
5563,5563
495,495
508,508
613,613
467,467
804,804
811,811
569,569
836,836
454,454
192,192
32,32
114,114
138,138
374,374
113,113
881,881
729,729
86,86
1116,1116
110,110
212,212
2472,2472
1294,1294
1366,1366
204,204
155,155
1503,1503
1523,1523
973,973
4878,4878
184,184
570,570
1203,1203
1645,1645
1093,1093
1456,1456
868,868
6263,6263
190,190
546,546
1131,1131
2110,2110
2143,2143
951,951
2266,2266
2274,2274
682,682
134,134
118,118
471,471
262,262
2401,2401
1000,1000
2467,2467
394,394
844,844
679,679
621,621
1256,1256
925,925
244,244
629,629
170,170
971,971
2239,2239
3105,3105
3109,3109
516,516
3193,3193
2107,2107
69,69
1434,1434
2998,2998
723,723
955,955
5810,5810
5400,5400
128,128
2722,2722
85,85
941,941
6609,6609
2987,2987
198,198
6907,6907
628,628
458,458
938,938
475,475
2124,2124
1110,1110
54,54
999,999
6973,6973
2443,2443
985,985
2061,2061
6418,6418
4104,4104
3025,3025
907,907
3203,3203
7043,7043
6894,6894
432,432
1192,1192
300,300
1369,1369
96,96
1731,1731
122,122
3392,3392
5685,5685
3906,3906
5785,5785
3065,3065
536,536
2391,2391
4,4
27,27
1406,1406
2067,2067
1024,1024
3511,3511
3365,3365
799,799
4711,4711
3093,3093
889,889
2316,2316
969,969
3117,3117
6700,6700
6939,6939
7376,7376
6395,6395
3307,3307
7386,7386
229,229
6638,6638
2754,2754
1193,1193
738,738
554,554
6984,6984
3708,3708
964,964
7398,7398
153,153
507,507
7369,7369
2850,2850
133,133
2708,2708
882,882
720,720
7385,7385
461,461
363,363
1742,1742
1925,1925
206,206
3641,3641
6362,6362
71,71
149,149
166,166
182,182
223,223
267,267
351,351
456,456
777,777
792,792
64,64
918,918
982,982
800,800
129,129
610,610
1198,1198
1199,1199
1270,1270
1272,1272
50,50
1477,1477
1511,1511
1502,1502
573,573
1601,1601
646,646
101,101
1664,1664
137,137
1828,1828
49,49
6517,6517
1499,1499
915,915
4246,4246
725,725
1073,1073
2119,2119
2144,2144
126,126
260,260
2243,2243
2337,2337
1268,1268
492,492
2622,2622
2663,2663
2718,2718
136,136
4824,4824
2845,2845
145,145
3029,3029
1810,1810
735,735
742,742
3171,3171
124,124
2594,2594
3281,3281
6398,6398
1352,1352
