Id,Label
344,344
1602,1602
1351,1351
333,333
1704,1704
242,242
460,460
639,639
1244,1244
1645,1645
743,743
936,936
981,981
151,151
1570,1570
1521,1521
1580,1580
791,791
1021,1021
1588,1588
1191,1191
1650,1650
1104,1104
1352,1352
1653,1653
1158,1158
506,506
816,816
1605,1605
1386,1386
362,362
715,715
930,930
1614,1614
1108,1108
481,481
1652,1652
156,156
1203,1203
206,206
1313,1313
1607,1607
1612,1612
235,235
592,592
1067,1067
1485,1485
1589,1589
347,347
551,551
862,862
1546,1546
52,52
225,225
1089,1089
1516,1516
1671,1671
1559,1559
1603,1603
451,451
668,668
1212,1212
1581,1581
630,630
1247,1247
1094,1094
1243,1243
1563,1563
872,872
947,947
1373,1373
203,203
490,490
643,643
1065,1065
1169,1169
1703,1703
1727,1727
164,164
672,672
977,977
1157,1157
1202,1202
238,238
378,378
544,544
1598,1598
1637,1637
319,319
747,747
1284,1284
1408,1408
1541,1541
53,53
258,258
313,313
741,741
1211,1211
1542,1542
1617,1617
1626,1626
669,669
693,693
736,736
1271,1271
1293,1293
1551,1551
1640,1640
386,386
588,588
811,811
1015,1015
1171,1171
1553,1553
1632,1632
228,228
243,243
745,745
831,831
1594,1594
1631,1631
377,377
409,409
818,818
1159,1159
1168,1168
1250,1250
1609,1609
142,142
209,209
595,595
603,603
649,649
948,948
1024,1024
1030,1030
1569,1569
1584,1584
1615,1615
314,314
707,707
733,733
758,758
1423,1423
1491,1491
1684,1684
1685,1685
63,63
201,201
214,214
310,310
563,563
1261,1261
1439,1439
1451,1451
1622,1622
415,415
497,497
537,537
1368,1368
1509,1509
1540,1540
183,183
237,237
659,659
1032,1032
1035,1035
1095,1095
1186,1186
1214,1214
1232,1232
1554,1554
1655,1655
383,383
533,533
535,535
593,593
609,609
634,634
746,746
845,845
891,891
971,971
985,985
1044,1044
1046,1046
1102,1102
1364,1364
1749,1749
9,9
122,122
269,269
303,303
324,324
438,438
456,456
478,478
857,857
941,941
978,978
1127,1127
1245,1245
1512,1512
1692,1692
76,76
163,163
353,353
510,510
597,597
964,964
1346,1346
1480,1480
1560,1560
1579,1579
1660,1660
368,368
464,464
657,657
950,950
968,968
1256,1256
1259,1259
1468,1468
1476,1476
1720,1720
11,11
40,40
208,208
279,279
435,435
512,512
560,560
666,666
790,790
825,825
917,917
922,922
926,926
986,986
989,989
1061,1061
1197,1197
1239,1239
1330,1330
1354,1354
1367,1367
1412,1412
1430,1430
1562,1562
1638,1638
222,222
288,288
485,485
547,547
753,753
946,946
959,959
988,988
1082,1082
1233,1233
1304,1304
1361,1361
1500,1500
1591,1591
1730,1730
79,79
154,154
162,162
226,226
256,256
308,308
423,423
477,477
568,568
788,788
888,888
980,980
996,996
1056,1056
1266,1266
1417,1417
1465,1465
1508,1508
1511,1511
1691,1691
1712,1712
601,601
635,635
650,650
673,673
686,686
850,850
944,944
1020,1020
1040,1040
1328,1328
1332,1332
1460,1460
57,57
306,306
709,709
773,773
840,840
855,855
995,995
1210,1210
1273,1273
1331,1331
1438,1438
1466,1466
1497,1497
1523,1523
1690,1690
61,61
97,97
190,190
217,217
273,273
450,450
646,646
654,654
698,698
931,931
943,943
992,992
1034,1034
1045,1045
1105,1105
1113,1113
1183,1183
1334,1334
1490,1490
1502,1502
1571,1571
1687,1687
1748,1748
17,17
95,95
104,104
176,176
232,232
321,321
522,522
543,543
583,583
621,621
806,806
1381,1381
1403,1403
1478,1478
1482,1482
1616,1616
1618,1618
62,62
109,109
219,219
356,356
373,373
598,598
645,645
918,918
970,970
1079,1079
1136,1136
1178,1178
1241,1241
1254,1254
1301,1301
1307,1307
1319,1319
1348,1348
1383,1383
1493,1493
1518,1518
1567,1567
1619,1619
1620,1620
1621,1621
1669,1669
1715,1715
46,46
141,141
236,236
257,257
408,408
442,442
482,482
571,571
739,739
897,897
954,954
984,984
1064,1064
1076,1076
1246,1246
1260,1260
1321,1321
1489,1489
1539,1539
1550,1550
1651,1651
1654,1654
119,119
149,149
275,275
312,312
349,349
385,385
397,397
459,459
468,468
589,589
624,624
691,691
716,716
754,754
821,821
869,869
890,890
909,909
925,925
940,940
960,960
994,994
1012,1012
1041,1041
1080,1080
1101,1101
1270,1270
1276,1276
1286,1286
1426,1426
1474,1474
1496,1496
1596,1596
1608,1608
1611,1611
1686,1686
1731,1731
68,68
99,99
105,105
155,155
189,189
286,286
363,363
381,381
393,393
398,398
470,470
491,491
515,515
542,542
676,676
706,706
755,755
757,757
805,805
836,836
861,861
920,920
927,927
966,966
983,983
1007,1007
1025,1025
1049,1049
1069,1069
1181,1181
1182,1182
1201,1201
1237,1237
1240,1240
1292,1292
1314,1314
1315,1315
1320,1320
1329,1329
1333,1333
1343,1343
1529,1529
1535,1535
1585,1585
1663,1663
31,31
182,182
218,218
248,248
251,251
266,266
294,294
358,358
364,364
365,365
396,396
412,412
413,413
424,424
426,426
428,428
439,439
466,466
585,585
612,612
651,651
663,663
667,667
696,696
708,708
723,723
730,730
802,802
812,812
822,822
874,874
938,938
956,956
973,973
1003,1003
1013,1013
1114,1114
1180,1180
1208,1208
1238,1238
1268,1268
1275,1275
1298,1298
1441,1441
1556,1556
1557,1557
1656,1656
1661,1661
1664,1664
1713,1713
45,45
66,66
77,77
80,80
136,136
147,147
174,174
180,180
181,181
227,227
301,301
302,302
340,340
370,370
404,404
427,427
446,446
448,448
488,488
493,493
565,565
579,579
610,610
632,632
687,687
712,712
721,721
740,740
804,804
877,877
903,903
906,906
951,951
972,972
975,975
1147,1147
1327,1327
1444,1444
1446,1446
1453,1453
1461,1461
1481,1481
1495,1495
1625,1625
1699,1699
1742,1742
2,2
6,6
85,85
234,234
252,252
274,274
277,277
289,289
328,328
342,342
395,395
400,400
429,429
430,430
457,457
508,508
561,561
619,619
641,641
652,652
682,682
684,684
777,777
829,829
834,834
875,875
997,997
1055,1055
1088,1088
1112,1112
1134,1134
1135,1135
1175,1175
1217,1217
1242,1242
1285,1285
1290,1290
1374,1374
1379,1379
1432,1432
1445,1445
1467,1467
1504,1504
1532,1532
1649,1649
1678,1678
1697,1697
1698,1698
1708,1708
1718,1718
1724,1724
24,24
48,48
103,103
106,106
166,166
224,224
249,249
291,291
372,372
387,387
390,390
443,443
469,469
499,499
534,534
548,548
580,580
596,596
608,608
614,614
618,618
688,688
697,697
766,766
826,826
866,866
870,870
912,912
974,974
1027,1027
1039,1039
1086,1086
1093,1093
1106,1106
1137,1137
1170,1170
1196,1196
1230,1230
1263,1263
1283,1283
1353,1353
1411,1411
1414,1414
1421,1421
1442,1442
1505,1505
1561,1561
1646,1646
1665,1665
1673,1673
1696,1696
1722,1722
1751,1751
16,16
38,38
74,74
113,113
160,160
213,213
215,215
221,221
239,239
267,267
281,281
304,304
326,326
405,405
414,414
489,489
500,500
517,517
518,518
520,520
570,570
577,577
581,581
587,587
628,628
648,648
670,670
722,722
744,744
779,779
792,792
796,796
859,859
863,863
935,935
937,937
939,939
965,965
969,969
987,987
1004,1004
1022,1022
1037,1037
1048,1048
1092,1092
1129,1129
1132,1132
1166,1166
1204,1204
1207,1207
1226,1226
1281,1281
1318,1318
1357,1357
1358,1358
1407,1407
1415,1415
