source,target
2510,2151
2434,2081
2394,1947
2451,1945
2191,2199
1993,2266
2438,2399
2549,2369
2278,2460
2274,2333
1971,2489
2347,2555
1976,1998
2551,2484
2372,2471
2115,2326
2593,1925
2624,2638
2509,2544
2559,2601
1993,2348
2133,2199
2084,2607
2461,2345
2121,1953
2088,2593
2624,1985
2088,2309
1943,2484
2436,2319
2340,2118
2042,2148
136,2135
2629,1577
2554,2574
2315,2372
1465,2501
2304,2072
2030,2276
2206,1997
2297,2633
2369,2046
2115,1943
2220,1943
2056,2520
2519,2543
2115,2334
2600,2290
2135,2502
1984,2253
2654,2074
2526,2393
1941,1955
2287,2593
2630,2233
2315,2567
2386,2630
2217,2375
2026,2153
2033,2309
2593,2654
2327,2189
2559,2188
2040,2139
2461,2199
2510,2133
2202,2659
2275,2428
1925,2409
2095,2654
2271,2352
2111,2002
2332,2125
2533,2032
2629,2436
2206,2179
2504,2607
2191,2597
2332,1941
2155,2149
2038,2608
2559,2258
2004,1998
2229,2428
2553,2045
2124,2142
1917,2504
2078,2600
1947,1970
2009,1954
2061,2284
2064,2546
2138,2445
2283,2643
2104,2507
2302,2293
2081,2252
1983,2539
2098,2615
2461,2196
2165,2290
2246,2333
2290,1983
2158,2335
2015,2156
2118,2428
2409,2549
2379,2068
1953,2290
2611,2560
2001,2284
2593,2172
2155,2289
2103,2059
2047,2581
2127,2153
2409,2131
2293,2267
1948,2511
2598,2081
2460,2059
2326,2521
2649,2491
1966,2062
2042,2510
2622,2320
2446,2655
2482,2005
2233,2536
1989,2037
2461,2598
2021,2564
1983,2623
2381,2020
2554,2492
2326,2206
2020,2446
2240,2271
1986,2370
2560,2564
1963,2323
2600,2460
2516,2032
2018,1957
2020,2414
2445,2215
2564,2150
2604,2542
2586,2638
2376,2430
2138,2315
2212,2275
2543,2247
2624,2046
2561,2201
2011,2657
2516,2629
2333,2096
2348,2308
2292,2102
2347,2289
2559,2542
2414,2237
2311,2179
2543,2407
2039,2597
2644,2047
2500,2630
2241,2451
2428,2056
2655,2354
2111,2368
1925,2578
2332,2068
2553,2601
2472,2384
2145,2116
2348,2115
2043,2591
1718,2031
2585,2648
2239,2338
2543,2506
2188,2395
2220,2615
2559,2271
2526,2352
2258,2112
2085,2379
2121,1979
2378,2202
2108,2339
2194,2241
2327,2239
2409,2408
2209,2325
2244,2112
2040,2309
2608,2385
2404,2290
2332,2609
2223,1926
2237,2607
1947,2471
2461,2224
2469,1938
2552,2088
2533,136
2333,2463
2578,2324
2430,2489
2435,2346
2087,2054
2603,2509
2560,2206
1970,2509
2460,2253
2498,2250
2324,1983
2428,2083
2418,2433
2575,2542
2071,1959
2276,2409
2411,2193
1941,2054
2510,2153
2516,2052
2102,2143
1951,2585
2465,1920
2096,2518
2584,2234
1975,2175
2019,2037
2458,2223
2326,2507
1962,2539
2302,1932
2374,2460
2035,2448
2047,2203
2602,2423
2081,2327
2173,2357
2374,2395
2110,2221
2244,1917
2102,2196
2203,1913
2317,2360
2408,1979
1917,2395
2118,2165
2436,2038
2564,2348
2543,2398
1985,2188
2590,2033
2188,2464
2340,2266
2112,2339
2283,2518
2455,2197
1914,1927
2169,2509
2045,2539
2430,2563
2067,2489
2108,2370
2124,2507
2354,2088
1941,2461
2037,2299
2224,2588
2611,2229
2010,1945
2633,1999
2526,2201
2276,2059
2603,2451
2603,2125
2562,2049
2042,2250
2093,2520
2275,2045
2591,2098
2347,2427
1941,2327
2340,2428
2290,2573
2376,2485
2597,2571
2068,2582
2473,2612
2649,2144
2410,1943
2200,2560
2201,2376
1925,2278
2153,2052
2303,2478
2619,2536
2624,2103
1932,2465
2332,2071
2482,2045
2118,2240
2616,2531
2261,1985
2120,2412
2328,2475
2134,2180
2478,2092
2391,2189
2183,2471
2617,2127
2500,2220
2325,1970
2139,2240
2161,2537
1918,1938
2287,2123
2191,2567
2485,2220
2409,2543
2359,2381
2339,2391
2542,2409
2261,1946
2501,2568
2109,1993
2387,2449
2292,2215
2471,2232
2095,2212
2419,2557
2602,2532
1938,2586
2086,2064
2253,1997
2459,1998
2372,2510
2273,2047
2139,2165
2318,2425
1926,1932
2307,2414
2583,1991
2386,2307
2277,2373
2161,2081
2293,2594
2026,1577
2491,2451
2084,2550
2046,2233
1948,2196
2436,1945
