source,target
4318,5748
5115,2494
4142,5637
8070,5258
343,2369
1038,1505
7956,2964
2279,4098
3909,1831
7102,428
3194,4022
3082,4886
809,1558
4127,3266
3706,4860
2960,89
3129,4944
7635,51
212,2222
6648,7079
7385,1835
2803,4714
5424,1480
5856,3667
575,2604
5192,215
3653,3889
7298,7485
3074,2496
7814,7914
1947,3979
2157,226
1555,1365
6139,2571
3717,3350
2440,4408
1254,407
80,2122
2824,3198
2067,3896
6003,1880
2484,4438
2867,103
5329,6325
6906,540
1497,2566
3904,4174
4452,5843
2991,636
7914,3667
3721,1389
5215,6128
1020,1077
5049,2684
6826,1558
3726,3406
2445,3762
3129,4461
4263,3840
3271,490
5990,3711
7929,1393
7642,7696
1777,3847
7803,6102
7730,7842
6790,7170
3082,3026
1917,3945
5648,9
1495,3559
2530,4486
5327,388
5200,1126
561,387
3743,3353
7247,7452
3641,6390
6132,6835
3140,1456
622,95
3111,4916
3726,5117
7927,4722
3121,4921
2746,2585
3482,6782
2815,1896
5426,531
7045,1713
4230,706
1829,916
7896,7259
1599,1607
405,549
1673,372
1665,1510
6361,2911
6249,6328
5912,5004
456,1918
3321,822
3502,3415
4573,1475
7885,563
2067,3452
3190,93
6747,7129
1604,649
3996,2285
7036,7316
7241,494
4027,5568
616,532
1330,1752
5745,257
1282,3364
4477,5066
84,353
7235,5802
7385,2504
7959,6105
7845,1169
1285,1294
6710,1612
6236,6905
2035,2901
4591,751
3448,4535
6999,6383
2880,1969
5103,4291
4593,863
1387,1302
6529,4220
4919,6102
1523,822
5018,6139
1181,1154
7180,2349
3320,3897
5623,565
1814,488
2439,2750
5574,6480
1341,1344
6790,4576
5047,6173
7445,5314
2281,733
4929,6078
2498,3778
2941,607
119,2169
752,95
1479,349
744,1360
2090,3422
1542,3589
6639,5247
6317,2579
2867,7091
6024,1229
7656,4077
205,352
2825,1477
1098,1275
2177,2310
7898,3081
5012,6135
7673,7793
3047,2041
3536,5203
147,753
4937,6107
4106,2084
2322,2504
4393,2705
1018,3100
2427,1754
6085,3187
5313,2059
5707,6611
1958,843
2707,836
