source,target
1082,8184
5030,7510
3096,7058
5105,8040
690,1770
3442,5791
3679,5361
5893,9898
7117,7698
3348,7671
693,1438
1967,4272
1218,7916
1573,3073
1393,8403
5068,6252
1562,5445
4913,7231
3613,7102
3635,7350
461,3871
5149,5599
1360,4930
425,7704
2171,6977
6276,8781
1061,2483
2336,7227
4336,6099
632,3942
2324,4184
5279,7119
23,5460
1778,7761
3138,9411
3657,7768
898,4123
6759,9563
1982,4251
3295,9482
2257,7325
3082,3400
8,1811
815,4080
483,3443
373,6768
5634,7476
4663,5776
689,5191
5548,6574
1228,8281
291,6933
4279,5237
4875,9095
6557,9329
325,5605
7070,7129
180,2405
821,8009
6022,7244
3849,9699
1905,7364
4663,10041
3806,6208
6019,6040
6278,6618
3566,9605
5390,5684
7259,8682
6380,7796
6811,7238
1480,3389
2457,5053
2836,3317
883,5105
2864,6544
1775,7101
5393,5579
6977,7289
1736,6194
5950,6860
1122,7965
639,2896
2104,8863
4467,9957
2305,8973
319,6777
73,7406
1605,7598
2928,3831
3127,4963
4461,8008
4979,5893
1690,2272
1770,5884
2256,8945
4816,5563
1252,6656
1557,5157
2276,8962
5467,5484
3918,4440
4181,4381
5686,8079
60,7394
1587,7530
6807,8234
5024,5682
3260,4479
6373,6480
1016,5626
4670,5838
4568,7316
5730,7103
5478,6931
700,7910
106,193
2763,5999
297,7592
1660,6791
3084,5541
5042,7123
5423,6462
3315,9013
3877,3930
1471,8452
907,3979
69,4654
340,5823
491,6513
3979,6711
2876,4071
6799,7180
3083,9384
6336,7169
1786,6875
4446,9835
370,7665
436,967
1124,7073
6986,7160
2964,6776
3371,6656
5247,6744
3120,8468
3713,9516
1642,7325
654,7124
4109,5167
1605,3452
3593,5545
2416,7159
2751,4752
605,5994
4027,7063
1622,5318
5842,6362
6099,7084
640,738
5774,5848
551,3832
3527,6182
3593,5262
1024,8139
3855,6933
2193,7282
3991,6181
2919,6860
327,6860
1723,7073
1144,6988
3236,6769
3054,4815
902,2845
5428,5629
3535,7716
4409,7339
7320,10486
3347,3593
370,5428
487,7756
1550,2817
5880,6769
5484,6832
2611,7182
4148,9181
5494,6333
419,3858
2552,7940
6382,6640
1284,5543
522,5445
882,4043
3719,5160
1031,7631
2349,2919
2741,2987
3687,3956
454,2643
5014,5346
5676,7581
2637,8728
4485,9031
1968,3340
4158,8093
3129,5884
1690,3739
4123,6569
3833,5086
5122,6769
5635,9291
4416,8712
284,3145
4533,8378
25,2061
4425,9121
