graph_name,balance,number_of_nodes,number_of_edges,node_of_max_density_subgraph,average_clustering,degree_assortativity_coefficient,local_efficiency,global_efficiency,diameter,average_shortest_path_length,wiener_index
complete-graph-0100_0,True,622,1576,0.5,0.07359144963646592,0.23949141049943448,0.0800905819796497,0.2244487293061176,10,5.072116853327534,979583.0
complete-graph-0100_1,False,492,1560,0.14227642276422764,0.05106565746809644,0.155153971564751,0.07059921146303257,0.2773917152175084,8,3.9931117844783337,482312.0
complete-graph-0101_0,True,689,1748,0.49927431059506533,0.038855484138502996,0.22364320219968575,0.042928751891016054,0.22585770614345607,9,4.97487511391636,1179125.0
complete-graph-0101_1,False,856,2963,0.056074766355140186,0.06214957809583994,0.29511875148790756,0.08424269234140741,0.23146392395872115,10,4.885169699950811,1787679.0
complete-graph-0102_0,True,764,1545,0.862565445026178,0.033095445857225965,-0.10386281010012673,0.0338807861713621,0.19138034487778377,11,5.87184783130794,1711444.0
complete-graph-0102_1,False,697,1856,0.08608321377331421,0.05556365362678128,0.6192247631132775,0.08553646828754433,0.20237768540613163,12,5.578245848381405,1353037.0
complete-graph-0103_0,True,735,1758,0.3333333333333333,0.040487086609535615,0.19251903441705662,0.04282610687372596,0.20820480365441676,10,5.399425383232312,1456468.0
complete-graph-0103_1,False,694,2342,0.08501440922190202,0.059615248664240006,0.35103031644674537,0.08467185805442287,0.25558547534284226,9,4.3337367083764775,1042138.0
complete-graph-0104_0,True,1608,4487,0.48507462686567165,0.0350237000423569,0.11993102437076965,0.03858596776818187,0.18598843477475446,11,6.05949871055426,7829042.0
complete-graph-0104_1,False,754,2577,0.07427055702917772,0.05894546066959861,0.3142100967109062,0.08643936746698211,0.2478671912212395,9,4.467900282160483,1268352.0
complete-graph-0105_0,True,256,527,0.875,0.07838541666666668,-0.14311970659094106,0.08670324900793655,0.2482285466270389,9,4.612009803921569,150536.0
complete-graph-0105_1,False,595,1889,0.14453781512605043,0.06628057283519469,0.16124039017610534,0.08201841198239757,0.26721229906071375,8,4.096211413858473,723862.0
complete-graph-0106_0,True,933,2522,0.6420150053590568,0.05620425781197497,0.15597146331428555,0.06318414575381366,0.20670022018989861,10,5.478651173702441,2381997.0
complete-graph-0106_1,False,711,1916,0.1729957805907173,0.07705548085294926,0.46212828185014687,0.10422692689921943,0.2054327842343149,10,5.465802975376874,1379596.0
